ApsimVersion = 7.9 r4044
Title = ames-2001
           Date           year          yield        biomass     watertable          no3()   surfaceom_wt            lai    dlt_n_min()           Rain
   (dd/mm/yyyy)         (year)        (kg/ha)        (kg/ha)           (mm)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)           (mm)
     16/09/2001           2001            0.0            0.0       1557.139          173.8            0.0          0.000            0.5         27.940
     17/09/2001           2001            0.0            0.0       1525.610          173.9            0.0          0.000            0.6          0.254
     18/09/2001           2001            0.0            0.0       1495.343          173.8            0.0          0.000            0.5          2.794
     19/09/2001           2001            0.0            0.0       1476.829          173.9            0.0          0.000            0.6          0.000
     20/09/2001           2001            0.0            0.0       1464.515          174.2            0.0          0.000            0.6          3.556
     21/09/2001           2001            0.0            0.0       1459.246          174.4            0.0          0.000            0.6          0.000
     22/09/2001           2001            0.0            0.0       1458.802          174.7            0.0          0.000            0.6          0.000
     23/09/2001           2001            0.0            0.0       1460.738          174.9            0.0          0.000            0.5          0.000
     24/09/2001           2001            0.0            0.0       1464.963          175.0            0.0          0.000            0.4          0.000
     25/09/2001           2001            0.0            0.0       1471.546          175.1            0.0          0.000            0.3          0.000
     26/09/2001           2001            0.0            0.0       1480.340          175.3            0.0          0.000            0.4          0.000
     27/09/2001           2001            0.0            0.0       1491.039          175.6            0.0          0.000            0.5          0.000
     28/09/2001           2001            0.0            0.0       1503.216          176.0            0.0          0.000            0.5          0.000
     29/09/2001           2001            0.0            0.0       1516.347          176.3            0.0          0.000            0.5          0.000
     30/09/2001           2001            0.0            0.0       1529.969          176.6            0.0          0.000            0.4          0.000
     01/10/2001           2001            0.0            0.0       1544.071          177.1            0.0          0.000            0.6          0.000
     02/10/2001           2001            0.0            0.0       1558.151          177.7            0.0          0.000            0.6          0.000
     03/10/2001           2001            0.0            0.0       1571.531          178.3            0.0          0.000            0.6          0.000
     04/10/2001           2001            0.0            0.0       1582.891          178.6            0.0          0.000            0.5          2.030
     05/10/2001           2001            0.0            0.0       1593.809          178.9            0.0          0.000            0.3          0.000
     06/10/2001           2001            0.0            0.0       1602.352          179.0            0.0          0.000            0.2          0.000
     07/10/2001           2001            0.0            0.0       1609.561          179.2            0.0          0.000            0.3          0.000
     08/10/2001           2001            0.0            0.0       1615.785          179.5            0.0          0.000            0.4          0.000
     09/10/2001           2001            0.0            0.0       1621.167          179.9            0.0          0.000            0.5          0.250
     10/10/2001           2001            0.0            0.0       1624.192          180.1            0.0          0.000            0.4         15.750
     11/10/2001           2001            0.0            0.0       1624.434          180.3            0.0          0.000            0.4          0.000
     12/10/2001           2001            0.0            0.0       1622.820          180.5            0.0          0.000            0.3          0.000
     13/10/2001           2001            0.0            0.0       1616.937          180.4            0.0          0.000            0.3         21.840
     14/10/2001           2001            0.0            0.0       1599.870          180.3            0.0          0.000            0.2          0.000
     15/10/2001           2001            0.0            0.0       1581.170          180.1            0.0          0.000            0.2          0.000
     16/10/2001           2001            0.0            0.0       1568.480          180.0            0.0          0.000            0.2          0.000
     17/10/2001           2001            0.0            0.0       1560.611          180.0            0.0          0.000            0.2          0.000
     18/10/2001           2001            0.0            0.0       1556.921          180.0            0.0          0.000            0.2          0.000
     19/10/2001           2001            0.0            0.0       1556.014          180.0            0.0          0.000            0.2          0.000
     20/10/2001           2001            0.0            0.0       1557.264          180.1            0.0          0.000            0.3          0.000
     21/10/2001           2001            0.0            0.0       1560.255          180.3            0.0          0.000            0.3          0.000
     22/10/2001           2001            0.0            0.0       1557.162          180.3            0.0          0.000            0.2         19.050
     23/10/2001           2001            0.0            0.0       1538.831          180.2            0.0          0.000            0.3          0.510
     24/10/2001           2001            0.0            0.0       1517.783          180.1            0.0          0.000            0.2          3.050
